Category,reg_id,type,Q.Num,Q,A,reference
Administrasi Kepemerintahan,UU_2014_30,Q6,1,apa dasar dari setiap keputusan yang dilakukan oleh pejabat pemerintahan?,ketentuan peraturan perundang-undangan dan aupb,Pasal 9 ayat 1
Administrasi Kepemerintahan,UU_2014_30,Q6,2,dari manakah kewenangan pemerintahan diperoleh?,"melalui atriburi, delegasi, dan/atau mandat",Pasal 11
Administrasi Kepemerintahan,UU_2014_30,Q6,3,apa bentuk keputusan yang mengakibatkan pembebanan keuangan negara?,bentuk tertulis,Pasal 38 ayat 6
Administrasi Kepemerintahan,UU_2014_30,Q6,4,siapa yang berhak melaporkan keterangan adanya dugaan konflik kepentingan pejabat pemerintahan?,warga masyarakat,Pasal 44 ayat 1
Administrasi Kepemerintahan,UU_2014_30,Q6,5,apakah alasan pertimbangan yang harus diberikan dari setiap keputusan?,"pertimbangan yuridis, sosiologis, dan filosofis",Pasal 55 ayat 1
Administrasi Kepemerintahan,PERATURAN_MA_2017_8,Q6,1,apakah permohonan terhadap permasalahan hukum yang pernah diajukan gugatan dapat menjadi objek permohonan?,tidak,Pasal 3 ayat 3
Administrasi Kepemerintahan,PERATURAN_MA_2017_8,Q6,2,kepada siapa permohonan diajukan?,pengadilan yang wilayah hukumnya meliputi tempat kedudukan termohon melalui kepaniteraan,Pasal 4 ayat 1
Administrasi Kepemerintahan,PERATURAN_MA_2017_8,Q6,3,siapa yang melakukan penelitian administrasi permohonan?,panitera,Pasal 4 ayat 3
Administrasi Kepemerintahan,PERATURAN_MA_2017_8,Q6,4,apa yang diberikan panitera sebagai bukti pencatatan permohonan?,akta,Pasal 7 ayat 1
Administrasi Kepemerintahan,PERATURAN_MA_2017_8,Q6,5,apa saja alat bukti yang dapat diajukan untuk diperiksa di persidangan?,"1. surat atau tulisan;
2. keterangan saksi;
3. keterangan ahli;
4. pengakuan para pihak;
5. pengetahuan hakim; dan/atau
6. alat bukti lain berupa informasi elektronik atau dokumen elektronik.",Pasal 13
Administrasi Kepemerintahan,PERMEN_DAGRI_2015_40,Q6,1,apakah jabatan yang setara dengan jabatan fungsional umum?,pelaksana,Pasal 1
Administrasi Kepemerintahan,PERMEN_DAGRI_2015_40,Q6,2,siapa yang berwenang mendatangani surat perintah tugas peserta pendidikan dan pelatihan kepemimpinan Tingkat II?,Sekretaris Jenderal,Pasal 5 ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2015_40,Q6,3,siapa yang berwenang mendatangani surat izin cuti tahunan PNS yang menduduki jabatan Pimpinan tinggi pratama dilingkungan satuan kerja?,Pimpinan satuan kerja,Pasal 6 ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2015_40,Q6,4,siapa yang berwenang menandatangani surat penempatan CPNS?,kepala biro kepegawaian,Pasal 7 ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2015_40,Q6,5,Apakah Peraturan Menteri Dalam Negeri Nomor 52 Tahun 2010 tentang Penandatanganan Naskah Dinas Bidang Kepegawaian di Lingkungan Kementerian Dalam Negeri masih berlaku?,tidak,Pasal 15
Administrasi Kepemerintahan,PERMEN_DAGRI_2017_91,Q6,1,Siapa yang berwenang menandatangani naskah dinas bidang kepegawaian yang berbentuk pernyataan pelantikan jabatan pimpinan tinggi madya?,Sekretaris Jenderal,Pasal 5 ayat  2
Administrasi Kepemerintahan,PERMEN_DAGRI_2017_91,Q6,2,apakah plt sekretaris jendral memiliki wewenang menandatangani naskah dinas dalam bentuk dan susunan surat dalam bidang kepegawaian?,ya,Pasal 5A ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2017_91,Q6,3,siapa yang berwenang mendatangani surat perjanjian tugas belajar?,kepala biro kepegawaian,Pasal 7 ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2017_91,Q6,4,apakah kepala biro kepegawaian memiliki wewenang menandatangani naskah dinas dalam bentuk dan susunan surat dalam bidang kepegawaian?,ya,Pasal 7A ayat 2
Administrasi Kepemerintahan,PERMEN_DAGRI_2017_91,Q6,5,Apa naskah dinas bidang kepegawaian yang bisa ditandatangani Kepala Bagian Pengembangan Karier?,berupa surat penempatan kembali pasca tugas belajar,Pasal 10
Administrasi Kepemerintahan,PERMEN_NAKER_2017_5,Q6,1,Siapa yang menyusun SOP,satuan kerja,Pasal 11 ayat 1
Administrasi Kepemerintahan,PERMEN_NAKER_2017_5,Q6,2,apa format SOP yang digunakan di kementerian ketenagakerjaan,format SOP AP,Pasal 9 ayat 3
Administrasi Kepemerintahan,PERMEN_NAKER_2017_5,Q6,3,siapa yang menetapkan SOP untuk Eselon I?,Menteri,Pasal 11 ayat 2
Administrasi Kepemerintahan,PERMEN_NAKER_2017_5,Q6,4,Kapan monitoring dan evaluasi penerapan SOP dilaksanakan?,setiap enam bulan,Pasal 13 ayat 6
Administrasi Kepemerintahan,PERMEN_NAKER_2017_5,Q6,5,siapa yang menetapkan SOP untuk unit pelaksana teknis pusat?,pejabat pimpinan tinggi madya,Pasal 11 ayat 4
Administrasi Kepemerintahan,PERPRES_2015_9,Q6,1,Apa saja yang dikoordinasikan oleh kementerian koordinator bidang pembangunan manusia dan kebudayaan?,"1. Kementerian Agama;
2. Kementerian Pendidikan dan Kebudayaan;
3. Kementerian Riset, Teknologi, dan Pendidikan Tinggi;
4. Kementerian Kesehatan;
5. Kementerian Sosial;
6. Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi;
7. Kementerian Pemberdayaan Perempuan dan Perlindungan Anak;
8. Kementerian Pemuda dan Olahraga; dan
9. Instansi lain yang dianggap perlu.",Pasal 4
Administrasi Kepemerintahan,PERPRES_2015_9,Q6,2,Apa tugas Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan?,"menyelenggarakan koordinasi, sinkronisasi, dan pengendalian urusan Kementerian dalam penyelenggaraan pemerintahan di bidang pembangunan manusia dan kebudayaan.",Pasal 2
Administrasi Kepemerintahan,PERPRES_2015_9,Q6,3,Apa tugas Deputi Bidang Koordinasi Penanggulangan Kemiskinan dan Perlindungan Sosial?,"menyelenggarakan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang penanggulangan kemiskinan dan perlindungan sosial.",Pasal 13
